video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,tagCount
d03H6i4ijs4,Snakehips,Snakehips - Empty w/ Nicole Millar (Visualizer),"Snakehips - never worry - ALBUM OUT NOW!
https://helixrecords.ffm.to/never-worry","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-05 04:00:30+00:00,5029.0,99.0,,4.0,PT3M19S,hd,false,Friday,13
lN6pfCaxqRs,Snakehips,Snakehips - Sometimes... w/ Daya & EARTHGANG (Visualizer),"Snakehips - never worry - ALBUM OUT NOW!
https://helixrecords.ffm.to/never-worry","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-05 04:00:22+00:00,8675.0,199.0,,12.0,PT3M43S,hd,false,Friday,13
88V4i6JJ6KE,Snakehips,Snakehips - Whenever U Call (Visualizer),"Snakehips - never worry - ALBUM OUT NOW!
https://helixrecords.ffm.to/never-worry","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-05 04:00:06+00:00,8689.0,144.0,,4.0,PT3M27S,hd,false,Friday,13
BSEUrN3IMP0,Snakehips,Snakehips - Pretty Girls w/ MadeinTYO (Visualizer),"Snakehips - never worry - ALBUM OUT NOW!
https://helixrecords.ffm.to/never-worry","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-05 04:00:05+00:00,4836.0,142.0,,11.0,PT2M48S,hd,false,Friday,13
4LjIOer9ZoA,Snakehips,Snakehips - Moncler (That Switch) w/ AG Club (Visualizer),"Snakehips - never worry - ALBUM OUT NOW!
https://helixrecords.ffm.to/never-worry","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-05 04:00:04+00:00,3015.0,57.0,,4.0,PT3M19S,hd,false,Friday,13
081MK7uyXfA,Snakehips,Snakehips - Deal With It w/ Kilo Kish (Visualizer),"Snakehips - never worry - ALBUM OUT NOW!
https://helixrecords.ffm.to/never-worry","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-05 04:00:00+00:00,4321.0,87.0,,4.0,PT2M19S,hd,false,Friday,13
zWHZGv4BV-g,Snakehips,'never worry' Album drops Friday!,"The countdown begins! Album drops Friday, check it out here: https://helixrecords.ffm.to/never-worry","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-01 15:30:26+00:00,379.0,27.0,,3.0,PT15S,hd,false,Monday,13
aucwVttcUEI,Snakehips,Snakehips x YouTube Shorts at Coachella 2023,Thanks to the folks at YouTube for having us! #CoachellaOnYouTube @YouTube #neverworry album coming May 5th! https://helixrecords.ffm.to/never-worry,"['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-04-26 15:41:47+00:00,457.0,17.0,,2.0,PT16S,hd,false,Wednesday,13
ruEjh8-cAF4,Snakehips,"Snakehips ""Show Me The Money"" w/ Tkay Maidza (Guz Remix) (Visualizer)","Snakehips ""Show Me The Money"" w/ Tkay Maidza OUT NOW
https://helixrecords.ffm.to/showmethemoney-guz","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-04-14 14:00:38+00:00,1981.0,15.0,,10.0,PT3M13S,hd,false,Friday,13
FxAcVFHTiFI,Snakehips,Snakehips - Show Me The Money w/ Tkay Maidza (Visualizer),"Snakehips ""Show Me The Money"" w/ Tkay Maidza OUT NOW
https://helixrecords.ffm.to/showmethemoney","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-03-16 18:10:00+00:00,26658.0,431.0,,24.0,PT3M8S,hd,false,Thursday,13
